model	kernel	feature_function	total_articles_count	testing_articles_count	train_count	total_token_count	correct	wrong	total
SVM	linear	ff_next_def_token	500	0	16400	239415	1358	465	1823
SVM	polynomial	ff_next_def_token	500	0	16400	239415	1354	469	1823
SVM	rbf	ff_next_def_token	500	0	16400	239415	1345	478	1823
SVM	sigmoid	ff_next_def_token	500	0	16400	239415	1308	515	1823
SVM	linear	ff_next_noun	500	0	16400	239415	1312	511	1823
SVM	polynomial	ff_next_noun	500	0	16400	239415	1332	491	1823
SVM	rbf	ff_next_noun	500	0	16400	239415	1318	505	1823
SVM	sigmoid	ff_next_noun	500	0	16400	239415	1279	544	1823
SVM	linear	ff_next_noun_with_seen	500	0	16400	239415	1290	533	1823
SVM	polynomial	ff_next_noun_with_seen	500	0	16400	239415	1360	463	1823
SVM	rbf	ff_next_noun_with_seen	500	0	16400	239415	1339	484	1823
SVM	sigmoid	ff_next_noun_with_seen	500	0	16400	239415	1260	563	1823
SVM	linear	full	500	0	16400	239415	1372	451	1823
SVM	polynomial	full	500	0	16400	239415	1391	432	1823
SVM	rbf	full	500	0	16400	239415	1336	487	1823
SVM	sigmoid	full	500	0	16400	239415	1227	596	1823
SVM	linear	ff_def_na	1000	0	33401	490024	2521	1191	3712
SVM	polynomial	ff_def_na	1000	0	33401	490024	1189	2523	3712
SVM	rbf	ff_def_na	1000	0	33401	490024	1201	2511	3712
SVM	sigmoid	ff_def_na	1000	0	33401	490024	1182	2530	3712
SVM	linear	ff_def_token	1000	0	33401	490024	2511	1201	3712
SVM	polynomial	ff_def_token	1000	0	33401	490024	2552	1160	3712
SVM	rbf	ff_def_token	1000	0	33401	490024	2555	1157	3712
SVM	sigmoid	ff_def_token	1000	0	33401	490024	2503	1209	3712
SVM	linear	ff_next_def_token	1000	0	33401	490024	2782	930	3712
SVM	polynomial	ff_next_def_token	1000	0	33401	490024	2857	855	3712
SVM	rbf	ff_next_def_token	1000	0	33401	490024	2804	908	3712
SVM	sigmoid	ff_next_def_token	1000	0	33401	490024	2701	1011	3712
SVM	linear	ff_next_noun	1000	0	33401	490024	2724	988	3712
SVM	polynomial	ff_next_noun	1000	0	33401	490024	2760	952	3712
SVM	rbf	ff_next_noun	1000	0	33401	490024	2749	963	3712
SVM	sigmoid	ff_next_noun	1000	0	33401	490024	2715	997	3712
SVM	linear	ff_next_noun_with_seen	1000	0	33401	490024	2735	977	3712
SVM	polynomial	ff_next_noun_with_seen	1000	0	33401	490024	2761	951	3712
SVM	rbf	ff_next_noun_with_seen	1000	0	33401	490024	2766	946	3712
SVM	sigmoid	ff_next_noun_with_seen	1000	0	33401	490024	2557	1155	3712
SVM	linear	full	1000	0	33401	490024	2816	896	3712
SVM	polynomial	full	1000	0	33401	490024	2844	868	3712
SVM	rbf	full	1000	0	33401	490024	2851	861	3712
SVM	sigmoid	full	1000	0	33401	490024	2539	1173	3712
SVM	linear	ff_def_na	2028	69639	7738	1027820	5233	2505	7738
SVM	polynomial	ff_def_na	2028	69639	7738	1027820	2576	5162	7738
SVM	rbf	ff_def_na	2028	69639	7738	1027820	2500	5238	7738
SVM	sigmoid	ff_def_na	2028	69639	7738	1027820	2542	5196	7738
SVM	linear	ff_def_token	2028	69639	7738	1027820	5232	2506	7738
SVM	polynomial	ff_def_token	2028	69639	7738	1027820	5185	2553	7738
SVM	rbf	ff_def_token	2028	69639	7738	1027820	5251	2487	7738
SVM	sigmoid	ff_def_token	2028	69639	7738	1027820	5261	2477	7738
SVM	linear	ff_next_def_token	2028	69639	7738	1027820	5973	1765	7738
SVM	polynomial	ff_next_def_token	2028	69639	7738	1027820	5955	1783	7738
SVM	rbf	ff_next_def_token	2028	69639	7738	1027820	5953	1785	7738
SVM	sigmoid	ff_next_def_token	2028	69639	7738	1027820	5838	1900	7738
SVM	linear	ff_next_noun	2028	69639	7738	1027820	5820	1918	7738
SVM	polynomial	ff_next_noun	2028	69639	7738	1027820	5862	1876	7738
SVM	rbf	ff_next_noun	2028	69639	7738	1027820	5796	1942	7738
SVM	sigmoid	ff_next_noun	2028	69639	7738	1027820	5710	2028	7738
SVM	linear	ff_next_noun_with_seen	2028	69639	7738	1027820	5801	1937	7738
SVM	polynomial	ff_next_noun_with_seen	2028	69639	7738	1027820	5848	1890	7738
SVM	rbf	ff_next_noun_with_seen	2028	69639	7738	1027820	5860	1878	7738
SVM	sigmoid	ff_next_noun_with_seen	2028	69639	7738	1027820	5300	2438	7738
SVM	linear	full	2028	69639	7738	1027820	5957	1781	7738
SVM	polynomial	full	2028	69639	7738	1027820	6135	1603	7738
SVM	rbf	full	2028	69639	7738	1027820	6069	1669	7738
SVM	sigmoid	full	2028	69639	7738	1027820	5371	2367	7738
